indicator_value,indicator_type,threat_name,description,confidence,date_added,references,tags
"C:\ProgramData\",file_path,Grandoreiro,"Ubicación de almacenamiento para componentes del payload",High,2023-01-01,Fragment 9,"file_system;storage;payload"
"C:\Public\",file_path,Grandoreiro,"Ubicación para archivos de configuración .cfg y .xml",High,2023-01-01,Fragment 6,"file_system;configuration;storage"
"C:\users\Public\<nombre_aleatorio>.zip",file_path,Grandoreiro,"Ubicación donde el script VBS suelta el archivo ZIP decodificado",High,2023-01-01,Fragment 12,"file_system;dropper;vbs;payload"
"*.cfg",file,Grandoreiro,"Archivo de configuración con funciones habilitadas del malware",High,2023-01-01,Fragment 6,"configuration;settings;persistence"
"*.xml",file,Grandoreiro,"Archivo con ubicación del ejecutable y fecha de infección",High,2023-01-01,Fragment 6,"configuration;metadata;persistence"
"*.txt",file,Grandoreiro,"Archivo utilizado por VBS para rastrear ruta del payload ejecutado",Medium,2023-01-01,Fragment 12,"tracking;dropper;vbs"
"pcre.dll",file,Grandoreiro,"DLL maliciosa de Grandoreiro",High,2023-01-01,Fragment 14,"malware;dll;component"
"iconv.dll",file,Grandoreiro,"DLL maliciosa de Grandoreiro con relleno binario",High,2023-01-01,Fragment 14,"malware;dll;component;binary_padding"
"dbghelp.dll",file,Grandoreiro,"DLL maliciosa usada en ataques de carga lateral con intune.exe",High,2023-01-01,Fragment 13,"malware;dll;sideloading"
"secman.dll",file,Grandoreiro,"DLL legítima de Outlook Security Manager abusada por el malware",High,2023-01-01,Fragment 9,"legitimate;dll;outlook;abuse"
"secman64.dll",file,Grandoreiro,"DLL legítima de Outlook Security Manager abusada por el malware",High,2023-01-01,Fragment 9,"legitimate;dll;outlook;abuse"
"ATISSDDRIVER.EXE",file,Grandoreiro,"Nombre interno para ejecutable de Grandoreiro (2023)",High,2023-01-01,Fragment 10,"malware;executable;masquerading"
"ATIECLXX.EXE",file,Grandoreiro,"Nombre interno para ejecutable de Grandoreiro (2023)",High,2023-01-01,Fragment 10,"malware;executable;masquerading"
"infonpeuz52271VVCYX.exe",file,Grandoreiro,"Nombre para módulo Cargador con icono PDF",High,2023-01-01,Fragment 4,"malware;loader;pdf_icon"
"C:\Program Files (x86)\Bitcoin",directory,Grandoreiro,"Directorio verificado para robo de datos de billetera Bitcoin",Medium,2023-01-01,Fragment 12,"cryptocurrency;target;reconnaissance"
"Wscript.shell / wscript.exe",process,Grandoreiro,"Proceso utilizado por scripts VBS para lanzar ejecutables",High,2023-01-01,Fragment 12,"process;legitimate;script_execution;vbs"
"(Navegadores web)",process_pattern,Grandoreiro,"Monitoreo de procesos de navegador para detectar sitios bancarios",High,2023-01-01,Fragment 1,"process;browser;monitoring;banking"
"HKLM\Software\Microsoft\Windows\CurrentVersion\Run",registry_key,Grandoreiro,"Clave de registro para persistencia a nivel de máquina",High,2023-01-01,Fragment 8,"registry;persistence;autorun;T1547.001"
"HKCU\Software\Microsoft\Windows\CurrentVersion\Run",registry_key,Grandoreiro,"Clave de registro para persistencia a nivel de usuario",High,2023-01-01,Fragment 8,"registry;persistence;autorun;T1547.001"
"HKCU\Software\<Nombres Cambiantes>",registry_key,Grandoreiro,"Almacenamiento de configuración con nombres variables",High,2023-01-01,Fragment 14,"registry;configuration;dynamic"
"Software\Clients\Mail",registry_key,Grandoreiro,"Clave verificada para detectar Microsoft Outlook",Medium,2023-01-01,Fragment 9,"registry;reconnaissance;outlook"
"HKLM\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions",registry_key,Grandoreiro,"Clave verificada para identificación del sistema",Medium,2023-01-01,Fragment 12,"registry;reconnaissance;system_check"
"ZTP@11",mutex,Grandoreiro,"Mutex creado por el Cargador para evitar múltiples instancias",High,2023-01-01,Fragment 4,"mutex;execution_control;single_instance"
