indicator_value,indicator_type,threat_name,description,confidence,date_added,references,tags
"Outlook Security Manager abuse",feature_abuse,Grandoreiro,"Abuso de secman.dll/secman64.dll para eludir advertencias de seguridad de Outlook y acceder programáticamente a correos sin alertas al usuario",High,2022-01-01,Fragment 3,"outlook;email;propagation;security_bypass;T1114.001"
"MSI CustomAction abuse",feature_abuse,Grandoreiro,"Explotación de la funcionalidad legítima de Windows Installer para ejecutar scripts maliciosos incrustados en tablas CustomAction durante la instalación",High,2021-01-01,Fragment 13,"msi;installer;execution;T1218.007"
"DLL Side-Loading",feature_abuse,Grandoreiro,"Colocación de DLL maliciosa (dbghelp.dll) junto a ejecutable legítimo firmado (Advanced Installer Intune Tool) para cargar código malicioso de manera encubierta",High,2022-01-01,Fragment 10,"dll;side_loading;signed_binary;proxy_execution;T1574.001"
"Windows Run keys abuse",feature_abuse,Grandoreiro,"Abuso de claves de registro Run estándar de Windows para establecer persistencia automática después del reinicio del sistema",High,2017-01-01,Fragment 8,"registry;persistence;autorun;T1547.001"
"WSCRIPT abuse",feature_abuse,Grandoreiro,"Uso de Windows Script Host para ejecutar scripts VBS maliciosos que descodifican y lanzan el payload principal",High,2021-01-01,Fragment 12,"vbs;scripting;execution;T1059.005"
"Browser API abuse",feature_abuse,Grandoreiro,"Manipulación de APIs de navegador web para inyectar JavaScript y automatizar acciones fraudulentas en sitios bancarios",High,2020-01-01,Fragment 8,"browser;javascript;banking_fraud;T1059.007"
"DNS over HTTPS abuse",feature_abuse,Grandoreiro,"Uso de DNS sobre HTTPS (DoH) para resolver dominios C2 encriptando el tráfico DNS y eludiendo controles de seguridad de red tradicionales",High,2023-01-01,Fragment 9,"dns;doh;evasion;c2;T1071.004"
"No CVE exploitation",assessment,Grandoreiro,"Análisis confirma que Grandoreiro no explota vulnerabilidades CVE específicas para acceso inicial o ejecución, sino que depende de ingeniería social y abuso de funcionalidades legítimas",High,2024-01-01,Fragment 8,"social_engineering;feature_abuse;assessment"
"Google DNS-over-HTTPS abuse",feature_abuse,Grandoreiro,"Uso específico del servicio DNS sobre HTTPS de Google (dns.google/resolve) para encapsular consultas DNS de dominios C2 dentro de tráfico HTTPS legítimo, evadiendo completamente el monitoreo DNS tradicional en puerto 53",High,2024-03-01,,"dns;doh;evasion;c2;google;legitimate_service;T1071.004"
"Advanced Installer kitbootnetsuuui.exe abuse",feature_abuse,Grandoreiro,"Abuso específico del ejecutable legítimo y firmado digitalmente de la Herramienta Intune de Advanced Installer para cargar la DLL maliciosa dbghelp.dll mediante carga lateral",High,2024-03-01,,"dll;side_loading;signed_binary;proxy_execution;T1574.002;specific_target"
"Binary padding evasion",feature_abuse,Grandoreiro,"Inflado artificial de archivos maliciosos (particularmente DLL) hasta más de 300MB mediante la inserción de datos no funcionales para evadir escaneo de antivirus y análisis automático que imponen límites de tamaño",High,2024-03-01,,"binary_padding;av_evasion;file_size;analysis_evasion;T1027"
"Multi-layer string encryption",feature_abuse,Grandoreiro,"Implementación de esquemas de cifrado complejos de múltiples etapas (hasta 6 capas) incluyendo Base64, codificaciones personalizadas, PRNG, XOR y AES-256 para ocultar cadenas críticas incluyendo dominios C2 y listas de bancos objetivo",High,2024-03-01,,"string_encryption;obfuscation;cryptography;defense_evasion;T1027"
"Outlook automailer abuse",feature_abuse,Grandoreiro,"Funcionalidad específica para interactuar con Microsoft Outlook para desactivar alertas de seguridad y utilizar la cuenta de la víctima para enviar correos de phishing adicionales, facilitando la autopropagación",High,2024-03-01,,"outlook;email;propagation;security_bypass;T1114.001;spreading"
"DGA with date-seeded algorithms",feature_abuse,Grandoreiro,"Implementación de Algoritmos de Generación de Dominios que utilizan la fecha actual como semilla para generar dinámicamente posibles dominios C2, dificultando el bloqueo basado en listas de dominios conocidos",High,2024-03-01,,"dga;domain_generation;c2;resilience;evasion;T1568.002"
"Geolocation filtering",feature_abuse,Grandoreiro,"Consulta a servicios de geolocalización legítimos (ip-api.com) para determinar la ubicación geográfica de la víctima y alterar el comportamiento basado en región, incluyendo selección de C2, targeting específico y evasión de regiones conocidas de investigadores",High,2024-03-01,,"geolocation;targeting;evasion;reconnaissance;T1614;legitimate_service"
